epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.08079136162996292,,,,,
0,99,0.062448665499687195,,,,,
0,149,0.14378289878368378,,,,,
0,189,,0.9545000195503235,0.9560173749923706,0.10178297758102417,0.9251636862754822,0.9890000224113464
1,199,0.09954883903265,,,,,
1,249,0.029318198561668396,,,,,
1,299,0.06652992963790894,,,,,
1,349,0.16714511811733246,,,,,
1,379,,0.675000011920929,0.7547169923782349,1.2015368938446045,0.6060606241226196,1.0
2,399,0.07455654442310333,,,,,
2,449,0.09958408027887344,,,,,
2,499,0.07815319299697876,,,,,
2,549,0.10366228967905045,,,,,
2,569,,0.9509999752044678,0.9531996250152588,0.11833919584751129,0.9122486114501953,0.9980000257492065
3,599,0.0645945817232132,,,,,
3,649,0.04256593808531761,,,,,
3,699,0.06728317588567734,,,,,
3,749,0.024004142731428146,,,,,
3,759,,0.9829999804496765,0.9831013679504395,0.05706460401415825,0.9772727489471436,0.9890000224113464
4,799,0.08415693044662476,,,,,
4,849,0.08796118944883347,,,,,
4,899,0.06515517085790634,,,,,
4,949,0.11525985598564148,,,,,
4,949,,0.9564999938011169,0.9582332968711853,0.12747712433338165,0.9215143322944641,0.9980000257492065
5,999,0.01639394648373127,,,,,
5,1049,0.03318069130182266,,,,,
5,1099,0.04438331723213196,,,,,
5,1139,,0.9524999856948853,0.9545236825942993,0.1255076825618744,0.9155188202857971,0.996999979019165
6,1149,0.07095105201005936,,,,,
6,1199,0.04411482810974121,,,,,
6,1249,0.0215398408472538,,,,,
6,1299,0.0672188326716423,,,,,
6,1329,,0.9300000071525574,0.9342105388641357,0.17234964668750763,0.881205677986145,0.9940000176429749
7,1349,0.024314183741807938,,,,,
7,1399,0.039299312978982925,,,,,
7,1449,0.046992357820272446,,,,,
7,1499,0.09597812592983246,,,,,
7,1519,,0.9819999933242798,0.9821958541870117,0.060199517756700516,0.9716242551803589,0.9929999709129333
8,1549,0.012966933660209179,,,,,
8,1599,0.01804305799305439,,,,,
8,1649,0.004695123061537743,,,,,
8,1699,0.05863521620631218,,,,,
8,1709,,0.9789999723434448,0.9792899489402771,0.0628114566206932,0.9659532904624939,0.9929999709129333
