epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.708052396774292,,,,,
0,99,0.5924654603004456,,,,,
0,149,0.5758040547370911,,,,,
0,189,,0.609000027179718,0.6985350847244263,0.6395814418792725,0.5683814287185669,0.906000018119812
1,199,0.5863373279571533,,,,,
1,249,0.5064097046852112,,,,,
1,299,0.5061706304550171,,,,,
1,349,0.5124605298042297,,,,,
1,379,,0.7825000286102295,0.7362037301063538,0.42490074038505554,0.9352850317955017,0.6069999933242798
2,399,0.40725094079971313,,,,,
2,449,0.398479700088501,,,,,
2,499,0.3358761668205261,,,,,
2,549,0.47758597135543823,,,,,
2,569,,0.8059999942779541,0.7785388231277466,0.40070366859436035,0.9069148898124695,0.6819999814033508
3,599,0.26205065846443176,,,,,
3,649,0.27604153752326965,,,,,
3,699,0.29251042008399963,,,,,
3,749,0.28164142370224,,,,,
3,759,,0.906499981880188,0.9101393818855286,0.2560015320777893,0.8760406970977783,0.9470000267028809
4,799,0.37047308683395386,,,,,
4,849,0.18037432432174683,,,,,
4,899,0.2124880999326706,,,,,
4,949,0.26181861758232117,,,,,
4,949,,0.9125000238418579,0.9163879752159119,0.2349826991558075,0.8774016499519348,0.9589999914169312
5,999,0.2941517233848572,,,,,
5,1049,0.26853930950164795,,,,,
5,1099,0.2569074332714081,,,,,
5,1139,,0.9175000190734863,0.9201741814613342,0.21832799911499023,0.8912839889526367,0.9509999752044678
6,1149,0.2194785326719284,,,,,
6,1199,0.3299964964389801,,,,,
6,1249,0.16113929450511932,,,,,
6,1299,0.20270271599292755,,,,,
6,1329,,0.9204999804496765,0.9220970273017883,0.2072192132472992,0.9039385318756104,0.9409999847412109
7,1349,0.2081221640110016,,,,,
7,1399,0.20266227424144745,,,,,
7,1449,0.311616450548172,,,,,
7,1499,0.2789936363697052,,,,,
7,1519,,0.925000011920929,0.9269005656242371,0.19521544873714447,0.9039924144744873,0.9509999752044678
8,1549,0.28126561641693115,,,,,
8,1599,0.2759658098220825,,,,,
8,1649,0.18594086170196533,,,,,
8,1699,0.23843418061733246,,,,,
8,1709,,0.9235000014305115,0.9268292784690857,0.20452633500099182,0.8881759643554688,0.968999981880188
9,1749,0.14641518890857697,,,,,
9,1799,0.21215835213661194,,,,,
9,1849,0.21071112155914307,,,,,
9,1899,0.18847596645355225,,,,,
9,1899,,0.9225000143051147,0.9263657927513123,0.19531691074371338,0.8823529481887817,0.9750000238418579
10,1949,0.32148098945617676,,,,,
10,1999,0.24931660294532776,,,,,
10,2049,0.19097565114498138,,,,,
10,2089,,0.9350000023841858,0.9368318915367126,0.18025177717208862,0.9111531376838684,0.9639999866485596
11,2099,0.18899229168891907,,,,,
11,2149,0.1703498214483261,,,,,
11,2199,0.20879951119422913,,,,,
11,2249,0.2574673593044281,,,,,
11,2279,,0.9284999966621399,0.9316770434379578,0.18558044731616974,0.8920402526855469,0.9750000238418579
12,2299,0.24560749530792236,,,,,
12,2349,0.21874813735485077,,,,,
12,2399,0.20107823610305786,,,,,
12,2449,0.12662054598331451,,,,,
12,2469,,0.9350000023841858,0.9367704391479492,0.1700335443019867,0.9119318127632141,0.9629999995231628
13,2499,0.23082657158374786,,,,,
13,2549,0.325114369392395,,,,,
13,2599,0.21949514746665955,,,,,
13,2649,0.2092496156692505,,,,,
13,2659,,0.9284999966621399,0.9316116571426392,0.18858405947685242,0.8927589654922485,0.9739999771118164
14,2699,0.30450642108917236,,,,,
14,2749,0.22810691595077515,,,,,
14,2799,0.16707445681095123,,,,,
14,2849,0.2395791858434677,,,,,
14,2849,,0.9455000162124634,0.9465424418449402,0.15965081751346588,0.9287776947021484,0.9649999737739563
15,2899,0.1810072511434555,,,,,
15,2949,0.21013431251049042,,,,,
15,2999,0.25079575181007385,,,,,
