epoch,step,train_loss,val_accuracy,val_f1,val_loss,val_precision,val_recall
0,49,0.5988284945487976,,,,,
0,99,0.3736596703529358,,,,,
0,149,0.38547584414482117,,,,,
0,189,,0.8240000009536743,0.7997724413871765,0.3940797448158264,0.9274406433105469,0.703000009059906
1,199,0.3316347599029541,,,,,
1,249,0.2927950918674469,,,,,
1,299,0.3193753659725189,,,,,
1,349,0.3578322231769562,,,,,
1,379,,0.8964999914169312,0.9006240963935852,0.27543026208877563,0.8661126494407654,0.9380000233650208
2,399,0.34638839960098267,,,,,
2,449,0.33217883110046387,,,,,
2,499,0.1526840478181839,,,,,
2,549,0.37155017256736755,,,,,
2,569,,0.9049999713897705,0.9088291525840759,0.24927151203155518,0.8736162185668945,0.9470000267028809
3,599,0.2559352517127991,,,,,
3,649,0.23780597746372223,,,,,
3,699,0.2533981204032898,,,,,
3,749,0.1850128173828125,,,,,
3,759,,0.9104999899864197,0.9147213101387024,0.22939418256282806,0.8735213875770569,0.9599999785423279
4,799,0.34243911504745483,,,,,
4,849,0.1989637315273285,,,,,
4,899,0.23213903605937958,,,,,
4,949,0.27562370896339417,,,,,
4,949,,0.8980000019073486,0.9064220190048218,0.25216662883758545,0.8372881412506104,0.9879999756813049
5,999,0.2914372682571411,,,,,
5,1049,0.2618909180164337,,,,,
5,1099,0.2612111270427704,,,,,
5,1139,,0.9150000214576721,0.9201127886772156,0.21170109510421753,0.8679078221321106,0.9789999723434448
6,1149,0.2155665010213852,,,,,
6,1199,0.27886784076690674,,,,,
6,1249,0.15150071680545807,,,,,
6,1299,0.17320117354393005,,,,,
6,1329,,0.9179999828338623,0.9219790697097778,0.199769526720047,0.8793103694915771,0.968999981880188
7,1349,0.177745059132576,,,,,
7,1399,0.189757838845253,,,,,
7,1449,0.31327998638153076,,,,,
7,1499,0.2971936762332916,,,,,
7,1519,,0.925000011920929,0.9276759624481201,0.18416760861873627,0.8957169651985168,0.9620000123977661
8,1549,0.25934410095214844,,,,,
8,1599,0.24280411005020142,,,,,
8,1649,0.18427592515945435,,,,,
8,1699,0.20062610507011414,,,,,
8,1709,,0.925000011920929,0.9291784763336182,0.1905512660741806,0.8801431059837341,0.984000027179718
9,1749,0.13829809427261353,,,,,
9,1799,0.19294899702072144,,,,,
9,1849,0.21064311265945435,,,,,
9,1899,0.18812443315982819,,,,,
9,1899,,0.9194999933242798,0.9247311949729919,0.19943377375602722,0.868305504322052,0.9890000224113464
10,1949,0.28933092951774597,,,,,
10,1999,0.2500535249710083,,,,,
10,2049,0.19070617854595184,,,,,
10,2089,,0.9240000247955322,0.9284369349479675,0.18720336258411407,0.8772242069244385,0.9860000014305115
11,2099,0.16811569035053253,,,,,
11,2149,0.16543185710906982,,,,,
11,2199,0.15934446454048157,,,,,
11,2249,0.22123245894908905,,,,,
11,2279,,0.9185000061988831,0.9241507649421692,0.2036106437444687,0.8642297387123108,0.9929999709129333
12,2299,0.1971299797296524,,,,,
12,2349,0.1579647809267044,,,,,
12,2399,0.18566259741783142,,,,,
12,2449,0.12242844700813293,,,,,
12,2469,,0.9359999895095825,0.938697338104248,0.16317595541477203,0.9007353186607361,0.9800000190734863
13,2499,0.20157337188720703,,,,,
13,2549,0.30633848905563354,,,,,
13,2599,0.17578259110450745,,,,,
13,2649,0.17346727848052979,,,,,
13,2659,,0.921999990940094,0.92710280418396,0.18915797770023346,0.8701754212379456,0.9919999837875366
14,2699,0.29330745339393616,,,,,
14,2749,0.2359054535627365,,,,,
14,2799,0.13038019835948944,,,,,
14,2849,0.21407637000083923,,,,,
14,2849,,0.9384999871253967,0.9404358267784119,0.16198788583278656,0.9117370843887329,0.9710000157356262
15,2899,0.21489277482032776,,,,,
15,2949,0.19887694716453552,,,,,
15,2999,0.189171701669693,,,,,
15,3039,,0.9225000143051147,0.927671492099762,0.1979467123746872,0.8696413040161133,0.9940000176429749
16,3049,0.0964333713054657,,,,,
16,3099,0.2194271981716156,,,,,
16,3149,0.15086832642555237,,,,,
16,3199,0.18692417442798615,,,,,
16,3229,,0.9259999990463257,0.9303857088088989,0.1926155686378479,0.8783303499221802,0.9890000224113464
17,3249,0.10547042638063431,,,,,
17,3299,0.1938413828611374,,,,,
17,3349,0.21290729939937592,,,,,
17,3399,0.1667189747095108,,,,,
17,3419,,0.9194999933242798,0.9250814318656921,0.20573066174983978,0.865100085735321,0.9940000176429749
18,3449,0.16832740604877472,,,,,
18,3499,0.1302143633365631,,,,,
18,3549,0.18164527416229248,,,,,
18,3599,0.17742203176021576,,,,,
18,3609,,0.9190000295639038,0.9246511459350586,0.20539459586143494,0.8643478155136108,0.9940000176429749
19,3649,0.17577087879180908,,,,,
19,3699,0.23408684134483337,,,,,
19,3749,0.07701455801725388,,,,,
19,3799,0.1564791351556778,,,,,
19,3799,,0.9384999871253967,0.9405509829521179,0.16125360131263733,0.9101964235305786,0.9729999899864197
20,3849,0.1550201177597046,,,,,
20,3899,0.24339458346366882,,,,,
20,3949,0.1828565150499344,,,,,
20,3989,,0.9235000014305115,0.9284043312072754,0.18868090212345123,0.8724713921546936,0.9919999837875366
21,3999,0.07486987859010696,,,,,
21,4049,0.162817120552063,,,,,
21,4099,0.11257755011320114,,,,,
21,4149,0.1313028186559677,,,,,
21,4179,,0.9334999918937683,0.9366968274116516,0.1673124134540558,0.8937329649925232,0.984000027179718
22,4199,0.11282123625278473,,,,,
22,4249,0.10785415768623352,,,,,
22,4299,0.0987103208899498,,,,,
22,4349,0.2804693281650543,,,,,
22,4369,,0.9375,0.9398170709609985,0.1574675291776657,0.9062209725379944,0.9760000109672546
23,4399,0.13218408823013306,,,,,
23,4449,0.13188138604164124,,,,,
23,4499,0.18764078617095947,,,,,
23,4549,0.13814006745815277,,,,,
23,4559,,0.9434999823570251,0.9441423416137695,0.14550909399986267,0.9335288405418396,0.9549999833106995
24,4599,0.15609824657440186,,,,,
24,4649,0.10894905030727386,,,,,
24,4699,0.16728638112545013,,,,,
24,4749,0.12414830923080444,,,,,
24,4749,,0.9204999804496765,0.9258049726486206,0.19796013832092285,0.8678914904594421,0.9919999837875366
25,4799,0.12907448410987854,,,,,
25,4849,0.1597794145345688,,,,,
25,4899,0.14142848551273346,,,,,
25,4939,,0.9304999709129333,0.9345266222953796,0.1776224970817566,0.8833481669425964,0.9919999837875366
26,4949,0.10286010801792145,,,,,
26,4999,0.15363551676273346,,,,,
26,5049,0.0970960408449173,,,,,
26,5099,0.174589142203331,,,,,
26,5129,,0.9269999861717224,0.9314553737640381,0.18010607361793518,0.8778761029243469,0.9919999837875366
27,5149,0.16365410387516022,,,,,
27,5199,0.06860410422086716,,,,,
27,5249,0.11725953966379166,,,,,
27,5299,0.17932981252670288,,,,,
27,5319,,0.9415000081062317,0.9428431987762451,0.14669910073280334,0.9216809868812561,0.9649999737739563
28,5349,0.09761276841163635,,,,,
28,5399,0.19878216087818146,,,,,
28,5449,0.06810706108808517,,,,,
